
Collection Sites,Count
Al-Kharj,72
Jazan/Jizan,14

Notes,"Simplified passport with only sample code and location. Predominantly from Al-Kharj region (85%). All Saudi Arabian accessions."

========================================
CROP 7: SESAME (Sesamum indicum) - WGS
========================================
Passport File,WGS/Sesamum/ORIGING/Iter-1SNP-INDEL/PCA/Sesamum-Passport-informatiom.csv
Total Accessions,62 (coded SE1-SE61+)
Passport Fields,"Sr. No., Sent Code, Accession Bank ID, Genus, Species, Scientific Name, Family name, Source or Donor Name, Collection Site, Place of Coll., Date"

Source/Donor,Count
Unknown,50
Farm,9
Agri. Research Center Gizan,4

Collection Sites,Count
Unknown (likely Yemen),49
Jazan,6
Gizan,4
Al-Baha,2
Aseer,1
Eastern Province,1

Notes,"Large portion (49/62) from unknown/unspecified sources - based on place names these appear to be from Yemen (Marib, Al-Hudaydah, Taiz, Abyan, Lahj, Al-Gawf). Saudi accessions from southwestern agricultural regions. Collection dates from 2011."

========================================
CROP 8: MANGO (Mangifera indica) - WGS
========================================
Passport File,WGS/Mangifera_indica/Analysis/002.SNP-QC/QC/Arch/QC-5/PCA/arc/passport.csv
Total Accessions,63 (coded M1-M63+)
Passport Fields,"Sent Code, Local Names, Country of Origin"

Country of Origin,Count
Saudi Arabia (KSA),22
Egypt,12
India,8
USA,7
Thailand,3
Indonesia,2
NA/Unknown,2
Yemen,1
Sudan,1
South Africa,1
Philippines,1
Pakistan,1
Jamaica,1
Cuba,1
Bangladesh,1

Notes,"Most diverse international collection - 14 countries represented. Mix of local Saudi varieties and global cultivars. Largest collection from KSA (35%), Egypt (19%), and India (13%)."

========================================
SUMMARY: CROPS WITHOUT PASSPORT DATA
========================================
Crop,Sequencing Type,Status
Oat (Avena sativa),GBS,No passport file found
Wheat - Triticum durum,GBS,No passport (has accession list only)
Wheat - Triticum monococcum,GBS,No passport file found
Wheat - Triticum aethiopicum,GBS,No passport file found
Wheat - Triticale,GBS,No passport file found
Apricot (armeniaca),WGS,No passport file found
Apricot,WGS,No passport file found
Asparagus Bean,WGS,No passport file found
Chick Pea,WGS,No passport file found
Fenugreek,WGS,No passport file found
Fig,WGS,No passport file found
Grape,WGS,No passport file found
Guar,WGS,No passport file found
Guava,WGS,No passport file found
Hot Pepper,WGS,No passport file found
Lemon,WGS,No passport file found
NemaGuard,WGS,No passport file found
Okra,WGS,No passport file found
Papaya,WGS,No passport file found
Peach,WGS,No passport file found
Plum,WGS,No passport file found
Pomegranate,WGS,No passport file found
Pumpkin,WGS,No passport file found
Quince,WGS,No passport file found

========================================
OVERALL PASSPORT STATISTICS
========================================
Metric,Value
Crops with passport data,8 out of 28
Total accessions with passport,1024
Accessions from Saudi Arabia,~448 (44%)
Accessions from International sources,~576 (56%)
Most represented international sources,"CIMMYT (Mexico), ACSAD (Syria), ICARDA, Egypt, India"
Key Saudi collection regions,"Jazan, Aseer, Al-Baha, Al-Kharj, Riyadh, Mecca/Taif, Al-Qaseem, Najran, Hail, Eastern Province"
